	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc30	515rcbc28	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_17005_0.txt	17005	0	3350.09433962	2501.23157895	2987.93841642	2718.96052632	2781.44610778	2934.58988764	2821.92619926	2721.50643777	2801.81443299	3129.92329545	2858.73208723	3028.25	2623.86363636	3021.11898017	2774.97297297	2495.79591837	2802.5393586	2707.96551724	3022.57186544	3248.17127072	2923.7	3025.49038462	3011.56622517	3113.25872093	2676.25961538	2934.75328947	3003.1880597	2633.75367647	2484.64169381
alpha_rarefaction_17005_1.txt	17005	1	3331.05172414	2516.37313433	2985.88856305	2776.95876289	2815.8603352	3126.7	2629.821875	2612.164	2702.78797468	2986.72631579	2921.16923077	2895.5797546	2835.60472973	3057.56213018	2819.16612378	2409.67137809	3063.16034985	2608.81694915	3112.51724138	3324.29106628	3179.1875	3081.76510067	2971.47	3215.50143266	2778.1886121	2918.76094276	2937.95965418	2478.11764706	2527.6286645
alpha_rarefaction_17005_2.txt	17005	2	3109.0	2506.29090909	3112.80701754	2737.43816254	3006.86363636	2939.59574468	2870.44664032	2707.92217899	2666.67307692	3153.2242268	3149.87820513	3022.0738255	3092.55636364	3125.98113208	2814.58333333	2512.29616725	3002.53488372	2637.89219331	3099.30722892	3329.37398374	2812.33121019	3028.5483871	2931.16037736	2997.65289256	2735.36633663	2976.63973064	2978.38461538	2553.03773585	2437.6402439
alpha_rarefaction_17005_3.txt	17005	3	3243.00292398	2543.04115226	2997.40840841	2733.92567568	2961.50151057	2943.60909091	2791.84306569	2549.20676692	2747.66149068	3049.1509434	2905.61801242	3074.88255034	2764.02531646	2894.21875	2852.92523364	2516.75	3003.11783439	2603.80276817	3006.54178674	3342.16935484	2835.0239521	2966.759375	3000.00955414	3078.125	2791.00970874	3009.01910828	2952.50140845	2619.71428571	2537.96153846
alpha_rarefaction_17005_4.txt	17005	4	3401.66149068	2553.31958763	3037.9504644	2816.34754098	2781.53221289	3156.07407407	2699.45519713	2725.39055794	2742.32441472	3047.85714286	2804.8974359	2880.83987915	2728.55882353	3048.56195965	2915.90909091	2435.2244898	2984.47962382	2539.96441281	3225.36538462	3362.89920424	2993.03927492	3141.25333333	2989.36860068	3299.00877193	2709.43959732	2841.85220126	2885.29166667	2634.5	2418.11075949
alpha_rarefaction_17005_5.txt	17005	5	3324.71212121	2424.52901024	3114.06441718	2772.85714286	2965.63975155	2977.27444795	2700.46905537	2546.78417266	2634.66123779	3056.79575597	2980.78980892	2948.65597668	2857.58163265	3161.16975309	2859.83653846	2507.90311419	2974.38957055	2742.14035088	3105.125	3133.01030928	2877.92372881	3042.94339623	2868.64820847	3301.71084337	2653.34951456	2801.28527607	2869.1510989	2490.33941606	2486.81619938
alpha_rarefaction_17005_6.txt	17005	6	3348.19937695	2393.08487085	2936.63352273	2689.03773585	2891.46107784	3112.32907348	2731.67741935	2573.32954545	2786.33225806	3395.83035714	2887.11173184	3134.69415808	2923.09364548	3007.44510386	2922.92057762	2445.02040816	2993.60377358	2620.88888889	3008.78097983	3301.09473684	3030.17741935	2897.43975904	2913.45283019	3187.30372493	2793.47916667	2941.78205128	2939.7027027	2607.92057762	2626.0979021
alpha_rarefaction_17005_7.txt	17005	7	3286.71428571	2545.64202335	3080.2	2798.23529412	2943.76357827	3128.25742574	2775.9390681	2435.82867133	2894.73106061	3082.01749271	2856.4054878	3030.06666667	2780.12101911	3118.47619048	2790.03963415	2534.90106007	2936.16307692	2703.96363636	2948.92592593	3288.99721448	2828.90027701	2884.47277937	2959.32515337	3148.73595506	2710.46710526	3064.97627119	2913.36263736	2533.96099291	2409.003003
alpha_rarefaction_17005_8.txt	17005	8	3223.61144578	2656.49090909	3038.33870968	2886.15789474	2910.85344828	2977.23974763	2628.25762712	2624.3452381	2662.88741722	3078.01156069	2860.73480663	3123.4440678	2781.09655172	3131.315625	2723.9672619	2394.25742574	3079.12307692	2730.0035461	3202.87613293	3302.71621622	3113.31578947	2985.759375	2775.4954955	3082.99453552	2662.09904153	2820.4047619	2808.22047244	2433.34313725	2445.44267516
alpha_rarefaction_17005_9.txt	17005	9	3260.01714286	2604.82051282	3170.00923077	2686.05821918	2796.87790698	3035.51076923	2718.27852349	2565.07942238	2575.59136213	3000.67553191	2889.56213018	3034.6828479	2797.83974359	2869.0026178	2852.96917808	2615.5	3084.75	2668.45519713	3069.07865169	3326.4214876	2685.23030303	3200.16666667	2965.25986842	3042.39095745	2690.05	2877.28391167	2927.31267606	2529.96099291	2448.63444109
